keywords
"[""Sodium Electrode (钠电极"",""Calcium Electrode (钙电极"",""PCO2 Electrode (二氧化碳分压电极"",""pH Electrode (pH电极"",""SAPS Single Action Pumping System (内腔清洗器（商品名：SAPS）"",""Nasal Mask (鼻罩"",""ARCHITECT Total β-hCG Reagent Kit (总β人绒毛膜促性腺激素测定试剂盒(化学发光微粒子免疫检测法)"",""ECHOGRAPH (超声眼科专用诊断仪"",""Flor-Opal Varnish White (氟保护剂"",""矫治器 (矫治器"",""RelyXTM Ceramic Primer (陶瓷表面处理剂"",""VITROS Immunodiagnostic Products Total T3 Reagent Pack (总三碘甲状腺原氨酸测定试剂包(化学发光法)"",""GLUTATHIONE REDUCTASE (谷胱甘肽还原酶检测试剂盒(紫外酶法)"",""LIAISON（R） XL murex Control HCV Ab (丙型肝炎病毒抗体质控品"",""VITROS Chemistry Products hsCRP Performance Verifier I,II and III (C反应蛋白质控品""]"
"[""Modular Replacement System-(MRS)Cemented Stems (股骨柄(商品名：MRS)"",""Secur-Fit Shell (髋关节假体-髋臼杯"",""Crossfire Insert (髋关节假体-聚乙烯内衬"",""OPAL (椎间融合器(商品名：OPAL)"",""Revision Hip Stem (翻修型股骨柄(商品名：Wagner SL)"",""TI Cage (钛制融合笼（商品名：Intromed）"",""Intromed PEEK Cage System (聚醚醚酮制椎间融合器（商品名：Intromed）"",""VITROS Chemistry Products AMYL DT Slides (淀粉酶测定干片(终点法)"",""VITROS Chemistry Products Fe DT Slides (铁测定干片(速率法)"",""IMMULITE 2000 GI-MA (糖类抗原19-9测定试剂盒(化学发光法)"",""DIRECT HDL-cholesterol(HDL) (高密度脂蛋白固醇检测试剂盒(酶清除法)"",""Mont Blanc (脊柱内固定系统组件"",""DISCOCERV Cervical Disc Prosthesis (人工椎间盘(商品名：DISCOCERV)"",""Iron Liquicolor (血清铁测定试剂盒(比色法)"",""Calibrator 27 (茶碱校准品""]"
"[""Fast-Exchange PTCA catheter (快速交换式PTCA导管(商品名：Pantera)"",""Hip Joint Prostheses－Uncemented Stem (髋关节假体－非骨水泥股骨柄(商品名：Metabloc)"",""BD Angiographic Manifold (一次性使用三通连接板"",""Condom (天然胶乳橡胶避孕套"",""Central Venous Catheter Set (中心静脉导管套装"",""Bard 3DMax Mesh (巴德3DMax补片(商品名：Bard 3DMax Mesh)"",""dental implant (种植体支抗"",""Immunoadsorption Column (选择性血浆成分吸附器"",""BD MICROTAINER(r) QuikheelTM Lancet (足跟采血器"",""CARBOXY(γ-GT)(GGT) (γ-谷氨酰转肽酶测定试剂盒(IFCC推荐法)"",""Triglyceride(TG) (甘油三酯测定试剂盒(氧化酶法)"",""Lipoprotein(a)[ Lp (a) ] (脂蛋白(a) 测定试剂盒(免疫比浊法)"",""Creatine Kinase-MB-isoenzyme (CK-MB) (肌酸激酶同工酶测定试剂盒(免疫抑制法)"",""N Latex ASL (抗链球菌溶血素O测定试剂盒(散射比浊法)"",""N Latex RF Kit (类风湿因子测定试剂盒(散射比浊法)""]"
"[""Glucose HK Gen.3 (GLUC3) (葡萄糖检测试剂盒(己糖激酶法)"",""Burnable Cast (聚酯纤维绷带"",""Dental Isolating Agent (齿科分离剂"",""Dental Isolating Agent (齿科分离剂"",""Root Canal Instrument (根管锉针(商品名：根管锉针)"",""Titanium Bone Screw (金属接骨螺钉"",""Contact Lenses (软性亲水接触镜(商品名：跃尔科月抛Contact.Life)"",""Interstim 3093/3889 lead set (电极组件"",""HemosIL Normal Control Assayed (正常值血凝试剂质控品"",""HemosIL Normal Control Assayed (正常值血凝试剂质控品"",""Anti-Toxoplasma gondii ELISA (IgM) (抗弓形体抗体IgM检测试剂盒(酶联免疫吸附法)"",""Meter Trax Control (全血血糖质控物"",""Diluent (稀释液"",""CN-Free Lyse (溶血剂"",""ALPHA-1-ACID- GLYCOPROTEIN(AGT) (α-1酸性糖蛋白检测试剂盒(免疫比浊法)""]"
"[""Slim-Loc Anterior Cervical Plate System (颈椎前路固定系统(商品名：Slim-Loc)"",""Kit(boronic affinity column) specially HbA1c Detector Based on Boronic Acid Affinity HPLC (硼酸盐亲和层析柱"",""Airways (一次性使用口咽通气道"",""Hastings Hip System (双极头(商品名：Hastings)"",""Vitros Immunodiagnostic Products Total β-hCG II Reagent Pack (总人绒毛膜促性腺激素β亚单位II测定试剂包(化学发光法)"",""VITROS Immunodiagnostic Products Troponin I ES Reagent Pack (肌钙蛋白 I 测定试剂包(化学发光法)"",""CHOLEDOCHOVIDEOSCOPE (电子胆道内窥镜"",""Monaco RTP System (放射治疗计划系统"",""ENDOCAM SYSTEMS FOR ENDOSCOPE (内窥镜摄像系统"",""DELFIA Neonatal hTSH (新生儿促甲状腺素测定试剂盒(时间分辨荧光法)"",""ABX RETIX (网织红细胞染色剂"",""Stat Profile pHOX/Basic Control Auto-Cartridge (血气质控品"",""ARCHITECT FSH Reagent Kit (卵泡刺激素测定试剂盒(化学发光微粒子免疫检测法)"",""Cystatin C Kit (胱抑素C 测定试剂盒(胶乳增强免疫透射比浊法)(商品名：FT乳胶胱抑素C)"",""Body-jet System (水动力辅助吸脂系统""]"
"[""Nano Hybrid Composite (纳米复合树脂(商品名：NANOSIT)"",""Rescue Internal Implant System (种植体、基台及配件(商品名：Rescue )"",""PTCA balloon dilatation catheter (耐高压乳突球囊扩张导管(商品名：GRIP)"",""Elastomerics (牙科正畸橡皮圈"",""Implant Instruments (种植工具"",""Miratray Implant (种植印模托盘(商品名：种植印模托盘)"",""stopper (自停套"",""Dental and Surgical Instruments (牙科手术工具"",""BBLTM Port-A-CulTM Tube with Swabs (运送培养基"",""Oxford Partial Knee Instruments (单髁膝关节手术工具(商品名：Oxford)"",""Silent Hip System Instrument (髋关节手术工具(商品名：Silent)"",""Instruments (骨科手术器械(商品名：奥特)"",""α-Hydroxybutyrate Dehydrogenase (a-HBDH) (α-羟丁酸脱氢酶测定试剂盒(DGKC推荐法)"",""NeuroPro, the Complete NeuroSurgical Rigid Fixation System-Instruments (颅面修复系统-手术工具"",""BBLTM CultureSwabTM Cary-Blair Agar (运送培养基""]"
"[""IMMULITE/IMMULITE1000 Beta-2 Microglobulin (β2 微球蛋白测定试剂盒(化学发光法)"",""IMMULITE/IMMULITE1000 Intact PTH (全段甲状旁腺激素测定试剂盒(化学发光法)"",""Exactech Surgical Instrument System (骨科手术器械"",""Ear Nose-Throat instruments (耳鼻喉科手术器械(商品名：西赛尔手术器械)"",""Abdomen surgical instruments (腹部外科手术器械(商品名：西赛尔手术器械)"",""UNXY Hip Joint Prosthesis System (髋关节假体系统"",""PCM Disc Spacer (人工颈椎间盘(商品名：PCM)"",""PCM Disc Spacer (人工颈椎间盘(商品名:PCM)"",""IMMULITE/IMMULITE1000 Ferritin (铁蛋白测定试剂盒(化学发光法)"",""IMMULITE/IMMULITE1000 CK-MB (肌酸激酶同工酶MB测定试剂盒(化学发光法)"",""Bard Kugel Hernia Patch (疝修补网织片(商品名：Bard Kugel)"",""Bard CruraSoft Patch (巴德Crurasoft补片(商品名：Bard CruraSoft)"",""Articulating and Occlusion test handinstruments (咬合测试辅助器械"",""Articulating and Occlusion test materials (咬合测试材料"",""Laser-flex Tracheal Tubes (一次性使用抗激光气管插管""]"
"[""Guide Wire (导丝(商品名：Radifocus Guide Wire M)"",""Dental Alginate Impression Material (齿科藻酸盐印模材料"",""Drainage Catheter (一次性使用引流导管(商品名：巴德 Bard Navarre)"",""Dental and Surgical Instruments (牙科手术工具"",""Pavlik Harness (Pavlik 吊带"",""LactoSorb Instruments (可吸收内固定系统配套工具"",""Retractor (骨科手术拉钩(商品名：TSI)"",""Orthopedic elevators,curettes (骨科用刮(商品名：Rebstock)"",""Patient Positioning and Monitoring System (患者位置监测系统"",""Liquichek Tumor Marker Control (肿瘤标记质控物"",""Anti-Measles Virus ELISA (IgM) (抗麻疹病毒抗体IgM检测试剂盒(酶联免疫吸附法)"",""NycoCard U-Albumin (尿微量白蛋白检测试剂盒(胶体金法)"",""IMMULITE/IMMULITE1000 Intact PTH (全段甲状旁腺激素测定试剂盒(化学发光法)"",""Self-Etch Primer and Bond (自酸蚀处理剂及粘接剂(商品名：P90 粘接系统)"",""Birmingham Hip Resurfacing System (金属表面置换髋关节股骨组件(商品名：Birmingham)""]"
"[""RETENSIN PLUS (牙科粘接剂"",""Mandible Distractor, multiaxial (多向牵引器系统"",""Flextome Cutting Balloon Device Monorail Delivery System (切割球囊系统(商品名：Flextome Cutting Balloon)"",""2cm Peripheral Cutting Balloon Microsurgical Dilatation Device (外周切割球囊"",""High Density Lipoprotein-cholesterol(HDL-C) (高密度脂蛋白胆固醇测定试剂盒(直接法)"",""Low Density Lipoprotein-cholesterol(LDL-C) (低密度脂蛋白胆固醇测定试剂盒(直接法)"",""Triglycerides MONO SL NEW (甘油三酯诊断试剂盒(酶比色法)"",""COPPER (铜诊断试剂盒(比色法)"",""Uric Acid MONO SL (尿酸诊断试剂盒(酶比色法)"",""Isletest-ICA (抗胰岛细胞抗体检测试剂盒(酶联免疫法)"",""Surgical Instrumentation (脊柱固定系统手术工具"",""Surgical Instrumentation (椎体融合器手术工具"",""Lipase colorimetric assay(LIPC) (脂肪酶检测试剂盒(比色法)"",""Murex HTLV I + II (人T淋巴细胞病毒1型和2型抗体检测试剂盒(酶联免疫法)"",""Biopsy Forceps (内镜用软管式活组织取样钳(商品名：活检钳)""]"
"[""SOLUS Laryngeal mask airway and accessories (喉罩及配件(商品名：喉罩及配件)"",""Blue Thermal Film (热敏胶片"",""stoma care (造口袋"",""Ceegraph/sleepscan Netlink (数字化脑电/睡眠监护仪(商品名：Bio-logic)"",""IMMULITE/IMMULITE1000 Estradiol (雌二醇测定试剂盒(化学发光法)"",""IMMAGE 800 Immunochemistry System (特定蛋白分析系统"",""BEP III System (酶联免疫分析系统"",""Kodak DirectView DR7500 System (数字化医用X射线摄影系统"",""Cholinesterase Gen.2(CHE2) (胆碱酯酶检测试剂盒(比色法)"",""Cholinesterase Gen.2(CHE2) (胆碱酯酶检测试剂盒(比色法)"",""Cholinesterase Gen.2(CHE2) (胆碱酯酶检测试剂盒(比色法)"",""SYNCHRON Calibrator 1 (多项校准品"",""Immulite/Immulite 1000 IGFBP-3 (胰岛素样生长因子结合蛋白-3测定试剂盒(化学发光法)"",""Rapidlab 1200 Series Reagent Cartridge (血气测定试剂盒(电极法)"",""γ-Glutamyltransferase ver.2 (GGT-2) (γ-谷氨酰转肽酶检测试剂盒(酶比色法)""]"
"[""γ-Glutamyltransferase ver.2 (GGT-2) (γ-谷氨酰转肽酶检测试剂盒(酶比色法)"",""Micro Instruments Scissors (显微外科用剪"",""PNEUMOSLIDE IgM (九项呼吸道感染病原体IgM抗体检测试剂盒(间接免疫荧光法)"",""PNEUMOSLIDE IgM (九项呼吸道感染病原体IgM抗体检测试剂盒(间接免疫荧光法)"",""Plasma Component Separator (膜型血浆成分分离器"",""Algisite M Calcium Alginate Dressing (藻酸钙敷料(商品名：液超妥)"",""Venous Thrombectomy Catheter (静脉取血栓导管(商品名：Fogarty)"",""VIDAS CA 15-3 (糖类抗原15-3检测试剂盒(酶联免疫荧光法)"",""VIDAS CA 125 II (糖类抗原125检测试剂盒(酶联免疫荧光法)"",""VIDAS CEA(S) (癌胚抗原检测试剂盒(酶联免疫荧光法)"",""VIDAS CEA(S) (癌胚抗原检测试剂盒(酶联免疫荧光法)"",""Enclose Ⅱ Anastomosis Assist Device (易扣Ⅱ吻合术辅助器械"",""OPAL (椎间融合器(商品名：OPAL)"",""ProlOptions Tips and Syringes (输送器"",""NANOFILLED SELF ADHESIVE LIGHT CURED PROTECTIVE COATING (光固化树脂封闭剂""]"
"[""Matrices (齿科成形片"",""TEMP Silicon Brush (复合树脂充填工具"",""Spectrum Ⅱ Soft Tissue Repair System (软组织修复系统(商品名：Spectrum Ⅱ)"",""CLEARFIL SA LUTING DUAL CURE DENTAL ADHESIVE SYSTEM (复合树脂粘合剂(商品名：可乐丽菲露 SAC)"",""Revo Soft Tissue Anchor Manual Instrument Kit (软组织固定用手动器械包(商品名：Revo)"",""VITROS Immunodiagnostic Products Myoglobin Reagent Pack (肌红蛋白测定试剂包(化学发光法)"",""VITROS Immunodiagnostic Products Free T4 Reagent Pack (游离甲状腺素测定试剂包(化学发光法)"",""VITROS Immunodiagnostic Products Ferritin Reagent Pack (铁蛋白测定试剂包(化学发光法)"",""RotaLink Exchangeable Catheter and RotaLink Advancer (磨头导管和推进器(商品名：RotaLink)"",""Arthroscopic Hand Instruments (关节镜用手术器械"",""VITROS Chemistry Products ApoB Performance Verifier Ⅰ (载脂蛋白B质控品"",""VITROS Chemistry Products ApoB Performance Verifier I (载脂蛋白B质控品"",""VITROS Immunodiagnostic products HBsAg (乙型肝炎病毒表面抗原检测试剂盒(化学发光法)"",""VIDAS NT-proBNP(PBNP) (N末端脑钠素原(NT-proBNP)检测试剂盒(酶联免疫荧光法)"",""VIDAS NT-proBNP(PBNP) (N末端脑钠素原(NT-proBNP)检测试剂盒(酶联免疫荧光法)""]"
"[""Lyphochek Coagulation Control (凝血质控物(商品名：Lyphochek Coagulation Control)"",""Lyphochek Coagulation Control (凝血质控物"",""ABX Minotrol CRP (血液分析仪用质控品(商品名：全血质控品中值)"",""ABX Minotrol CRP (血液分析仪用质控品(商品名：全血质控品高值)"",""EZ Plus Internal Implant System (种植体、基台及配件(商品名：EZ Plus)"",""IMMULITE/IMMULITE1000 CK-MB (肌酸激酶同工酶MB测定试剂盒(化学发光法)"",""Viscoelastic (眼科手术粘弹剂"",""Pall AEF Posidyne I.V. Filter (静脉输液过滤器"",""Guide Wire (导丝(商品名：Synchro2)"",""XIA Implants (脊柱固定系统(商品名：XIA)"",""Liquichek Immunoassay Plus Control (免疫分析质控物"",""Liquichek Immunoassay Plus Control (免疫分析质控物"",""Infusion Microcatheter (灌注微导管(商品名：EmboCath Plus)"",""Anesthesia System (麻醉系统"",""Cameras Medical (医用摄像系统""]"
"[""IMMULITE2000 LH (促黄体生成素测定试剂盒(化学发光法)"",""Hydra Jagwire High Performance Guidewire (导丝(商品名：Hydra Jagwire)"",""Tip Cleaner (一次性使用刀头清洁片"",""Thoracic catheter (胸腔引流管"",""Immuno-Trol Cells (细胞质控品"",""Immuno-Trol Cells (细胞质控品"",""IOTest CD45-PC5 (白细胞分化抗原CD45检测试剂盒(流式细胞仪法)"",""IOTest CD13-PE (白细胞分化抗原CD13检测试剂盒(流式细胞仪法)"",""BECKMAN COULTER CSF Calibrator (脑脊液蛋白校准品"",""Alcian Blue for PAS (阿利辛蓝－过碘酸雪夫氏染色液"",""Itrel 3 spinal cord stimulation system (神经刺激系统"",""CD3 FITC Reagent (CD3 FITC检测试剂盒(流式细胞法)"",""Cal G/L (血糖/乳酸校准液"",""Cal G/L (血糖/乳酸校准液"",""Elastic Staining Kit (弹性纤维染色液""]"
"[""IMMULITE/IMMULITE1000 ACTH (促肾上腺皮质激素测定试剂盒(化学发光法)"",""IMMULITE/IMMULITE1000 ACTH (促肾上腺皮质激素测定试剂盒(化学发光法)"",""Cyclosporine Calibrator (CSA Calibrator) (环孢霉素定标液"",""IMMULITE/IMMULITE1000 Calcitonin (降钙素测定试剂盒(化学发光法)"",""IMMULITE2000 Calcitonin (降钙素测定试剂盒(化学发光法)"",""Prealbumin/Ceruloplasmin Control Set (前白蛋白/血浆铜蓝蛋白质控品"",""SPOTCHEM II Amylase (淀粉酶检测试纸(酶活性测定法)"",""SPOTCHEM II Creatinine (肌酐检测试纸(化学法)"",""N/T Rheumatology Control SL/2 (风湿病学质控品(高值)"",""N/T Rheumatology Control SL/1 (风湿病学质控品(低值)"",""BETACHEK Blood Glucose Test Strips (血糖试纸"",""Rapidsystem AutomaticQC Cartridge (血气分析质控试剂盒"",""Posterior Cage Instruments (后路腰椎椎间融合器手术工具(商品名：ROI)"",""Goldstein Sonohysterography Catheter (子宫造影导管(商品名：Goldstein)"",""Drill (不锈钢牙钻""]"
"[""IMMULITE/IMMULITE 1000  Free T3 (游离三碘甲状腺原氨酸测定试剂盒(化学发光法)"",""IMMULITE/IMMULITE 1000  Free T3 (游离三碘甲状腺原氨酸测定试剂盒(化学发光法)"",""248 6.8/7.3 Buffer (缓冲液"",""348 Hct Slope (红细胞压积测定试剂盒(电极法)"",""348 Hct Slope (红细胞压积测定试剂盒(电极法)"",""Tina-quant Hemoglobin A1c Gen.2 (A1C-2) (糖化血红蛋白检测试剂盒(免疫比浊法)"",""Tina-quant Hemoglobin A1c Gen.3(A1C-3) (糖化血红蛋白检测试剂盒(免疫比浊法)"",""UREAL(UREA/BUN) (尿素/尿素氮检测试剂盒(比色法)"",""Giemsa Staining Kit (吉姆萨染色液"",""CRP Standard (C反应蛋白校准品"",""D3 Ultra DFA Respiratory Virus Screening \u0026 ID Kit (七项呼吸道病毒检测试剂盒(免疫荧光法)"",""AxSYM free PSA Standard Calibrators (游离前列腺特异性抗原标准校准品"",""Cryotome (冷冻切片机"",""EMERGENCY AND PATIENT TROLLEY (急诊患者手推车"",""Accu-Chek Integra Blood Glucose Meter (血糖仪(商品名：罗康全整合型血糖仪)""]"
"[""Automation Blood Grouping Analyser System (全自动血型分析仪(商品名：瀚通血型分析系统)"",""Apolipoprotein A1(Apo-A1) (载脂蛋白-A1测定试剂盒(免疫比浊法)"",""SPOTCHEM II ALP (碱性磷酸酶检测试纸(酶活性测定法)"",""Tina-quant IgA Gen.2(IGA-2) (免疫球蛋白A检测试剂盒(免疫比浊法)"",""Determine HBsAg (乙型肝炎病毒表面抗原检测试剂盒(胶体硒法)"",""Spinal Fixation System (融合器(商品名：Fidji颈椎笼)"",""Spinal Fixation System (棘突间非融合动态稳定系统(商品名：Wallis非融合植入物)"",""ReaScan Rapid Test Reader with accessories (C反应蛋白分析仪"",""Universal Microplate Reader (全自动酶标仪"",""Nanopia D dimer (D二聚体检测试剂盒(胶乳免疫比浊法)"",""Nanopia D dimer (D二聚体检测试剂盒(胶乳免疫比浊法)"",""Immulite 2000 Troponin I (肌钙蛋白I测定试剂盒(化学发光法)"",""SONOGUIDE BIOPSY NEEDLE SONOPSY (吸引活检针(商品名：吸引活检针)"",""Reservoir (储药器"",""Single Use Nasal Biliary Drainage Tube (一次性使用经鼻胆汁外引流管(商品名：威势)""]"
"[""Tina-quant IgG Gen.2 (IGG-2) (免疫球蛋白G检测试剂盒(免疫比浊法)"",""Lactate Gen.2 (LACT2) (乳酸检测试剂盒(比色法)"",""Lactate Gen.2 (LACT2) (乳酸检测试剂盒(比色法)"",""Lactate Gen.2 (LACT2) (乳酸检测试剂盒(比色法)"",""Liquichek Blood Gas Control (血气分析质控液(商品名：Liquichek Blood Gas Control)"",""Creatine Kinase(CKL) (肌酸激酶检测试剂盒(比色法)"",""Creatine Kinase(CKL) (肌酸激酶检测试剂盒(比色法)"",""IMMULITE2000 Albumin (白蛋白测定试剂盒(化学发光法)"",""IMMULITE2000 TBG (甲状腺结合球蛋白测定试剂盒(化学发光法)"",""Anti-strptolysin O (ASO) (抗链球菌溶血素O测定试剂盒 (免疫比浊法)"",""AxSYM Totalβ-hCG Reagent Pack (总β人绒毛膜促性腺激素测定试剂盒 (微粒子酶联免疫检测法)"",""ARCHITECT Free T4 Reagent Kit (游离甲状腺素测定试剂盒(化学发光微粒子免疫检测法)"",""AxSYM Cyclosporine Reagent Pack (环孢霉素测定试剂盒(荧光偏振免疫检测法)"",""Foley Catheters (气囊导尿管"",""Endotracheal Tubes (麻醉气管插管""]"
"[""Sterile hypodermic needles for single use (一次性使用无菌注射针(商品名：诺和针 NovoFine)"",""Orthodontic Primers (正畸预处理剂(商品名：Transbond XT 光固化正畸粘接剂预处理剂)"",""Dental Files (牙用锉(商品名：ProTaper Universal)"",""Tina-quant IgA Gen.2(IGA-2) (免疫球蛋白A检测试剂盒(免疫比浊法)"",""IV 3000 Dressing (透明敷料(商品名：IV3000)"",""Brush for endoscope (内窥镜用刷"",""VACUTAINER(r)  Brand EclipseTM  Blood Collection Needle (一次性使用锁扣式采血器"",""Implants for Osteosynthesis (接骨用直型钢板螺钉"",""CODA Balloon Catheter (球囊导管(商品名：CODA)"",""DELFIA Free hCGβ (游离hCGβ亚基测定试剂盒(时间分辨荧光法)"",""Tina-quant IgG Gen.2 (IGG-2) (免疫球蛋白G检测试剂盒(免疫比浊法)"",""ASO-IT (抗链球菌溶血素O测定试剂盒(免疫比浊法)"",""Lipoprotein (a) (脂蛋白(a)测定试剂盒(免疫比浊法)"",""Nanopia D dimer (D二聚体检测试剂盒(胶乳免疫比浊法)"",""CHIRMOT 10 (手术动力系统""]"
"[""surgical light (无影灯"",""Osteo Introducer System (骨导引器系统"",""Quadrox-i (集成式膜式氧合器和动脉过滤器及静脉贮血器(商品名：Quadrox-i膜式氧合器和动脉过滤器及静脉贮血器)"",""IMMULITE/IMMULITE1000 TBG (甲状腺结合球蛋白测定试剂盒(化学发光法)"",""S100 CalSet (S100定标液"",""S100 CalSet (S100定标液"",""IMMULITE2000 ACTH (促肾上腺皮质激素测定试剂盒(化学发光法)"",""IMMULITE2000 Cortisol (皮质醇测定试剂盒(化学发光法)"",""VITROS Immunodiagnostic Products Total T4 Reagent Pack (总甲状腺素测定试剂包(化学发光法)"",""α-Amylase EPS Pancreatic(P-AMYLASE) (胰淀粉酶检测试剂盒(比色法)"",""Quantia ASO (抗链球菌溶血素O测定试剂盒(颗粒增强免疫透射比浊法)"",""Chocolate agar+PolyVitex (PVX) (含复合维生素X的巧克力琼脂培养基"",""SYNCHRON Calibrator 5 Plus (多项校准品"",""Vigil Serology Control (血清学质控品"",""Stat Profile pHOx Ultra/Critical Care Xpress CO-Oximeter Calibrator Cartridge with Bilirubin and Deproteinizing Solution (血氧校准品""]"
"[""Immulite AFP Sample Diluent (甲胎蛋白样本稀释液"",""Bicarbonate Liquid (CO2-L) (重碳酸盐检测试剂盒(比色法)"",""Triglycerides (TRIGL) (甘油三酯检测试剂盒(比色法)"",""AutoDELFIA Neonatal Thyroxine(T4) (新生儿甲状腺素测定试剂盒(时间分辨荧光法)"",""AutoDELFIA hAFP/ Free hCGβ Dual (甲胎蛋白/游离hCGβ亚基双标测定试剂盒(时间分辨荧光法)"",""AutoDELFIA hCG (绒毛膜促性腺激素测定试剂盒(时间分辨荧光法)"",""DELFIA hCG (绒毛膜促性腺激素测定试剂盒(时间分辨荧光法)"",""Glucose Hexokinase II(GLUH) Reagents (葡萄糖测定试剂盒(己糖激酶法)"",""Retrograde Transhepatic Biliary DrainageTube (逆行性经胆管引流管"",""Hip Prosthesis System (人工髋关节"",""MEDPOR Coated Tear Drain (人工泪管"",""Epic Supra Valve (瓣膜(商品名：Epic Supra)"",""Epic Valve (瓣膜(商品名：Epic)"",""Distal Radius Locking Plate System (桡骨远端固定系统(商品名：VariAx)"",""Ureteral Stents/Catheters (输尿管支架及导管套件""]"
"[""MEDICAL DRY IMAGING FILM (医用干式胶片"",""MEDICAL DRY IMAGING FILM (医用干式胶片"",""Cooling Gel-Patch (解热贴(商品名：DecoDeco Cool 婴幼儿型  DecoDeco Cool for Babies)"",""VITROS Immunodiagnostic Products Total T3 Reagent Pack (总三碘甲状腺原氨酸测定试剂包(化学发光法)"",""VITROS Chemistry Products Calibrator Kit 25 (生化分析仪用校准品"",""X Ray Protective Eyewear (X射线防护眼镜"",""X Ray Protective Barriers (X射线防护屏"",""X Ray Protectiive Wear \u0026 Gloves (X射线防护服及防护手套"",""Activ C Flat (颈椎人工椎间盘"",""Guidewire and Stylet (导引导丝和起搏导线导丝(商品名：CPS Duo)"",""AxSYM Cyclosporine Standard Calibrators (环孢霉素标准校准品"",""AxSYM B12 Standard Calibrators (维生素B12标准校准品"",""Laser and light based system (激光/脉冲光工作站"",""Spine Surgery System (椎间盘镜及附件"",""IOTest CD8-PC5 (白细胞分化抗原CD8检测试剂盒(流式细胞仪法)""]"
"[""IOTest CD20-FITC (白细胞分化抗原CD20检测试剂盒(流式细胞仪法)"",""ACTH CalSet (促肾上腺皮质激素定标液"",""Prolactin II (催乳素检测试剂盒(电化学发光法)"",""Criticath Pressure Monitoring Catheters (压力监控导管(商品名：Criticath)"",""Rapid Exchange Biliary Stent System (快速交换塑料胆道支架"",""Pall Ultipor Breathing Circuit Filter (呼吸通路过滤器"",""CONTOUR Curved Cutter stapler and Reloads (弧形切割吻合器和钉仓(商品名：CONTOUR)"",""Biofragmentale Anastomosis Ring (生物可降解吻合环"",""Abbott Clinical Chemistry Haptoglobin (结合珠蛋白测定试剂盒(免疫透射比浊法)"",""C.f.a.s. Myoglobin (肌红蛋白校准品"",""Serum proteins T Standard (血清蛋白校准品"",""Cooling Gel-Patch (解热贴(商品名：DecoDeco Cool-S 成人型)"",""Ortho Solo (正畸预处理剂"",""Gentamicin Bone Cement (庆大霉素骨水泥(商品名：CMW)"",""Lens Insertion Devices (人工晶体植入器(商品名：Crystalsert Crystalens Delivery System)""]"
"[""ultraView SISH Detection Kit (原位杂交银染染色液"",""ISH IVIEW Blue Plus Detection Kit (原位杂交蓝染染色液"",""OraSeal Caulking \u0026 Blocking-out putty (缝隙封闭糊剂(商品名：OraSeal)"",""FibreKleer Post (牙科纤维根管桩(商品名：FibreKleer Post System)"",""Flow-It ALC (流动性复合树脂修复材料(商品名：Flow-It ALC Flowable Composite)"",""Neuron Intracranial Access System (颅内导入系统(商品名：Neuron)"",""Anatomic Bone Plates/Bone screws (金属锁定接骨板系统"",""Dilation Balloon (球囊扩张导管"",""Abbott Clinical Chemistry Ultra HDL (高密度脂蛋白测定试剂盒(均相测定法)"",""ARCHITECT Total β-hCG Calibrators (总β人绒毛膜促性腺激素校准品"",""AxSYM HbA1c Reagent Pack (糖化血红蛋白测定试剂盒(微粒子酶联免疫检测法)"",""Transseptal Needle (一次性使用房间隔穿刺针(商品名：BRK-1)"",""Dental Implant Series (牙科种植体套装(商品名：Omni-Tight)"",""Triage MeterPro (荧光免疫分析仪"",""Triage MeterPro (荧光免疫分析仪""]"
"[""Uric Acid(UA) (尿酸检测试剂盒(比色法)"",""Cholesterol(chol) (胆固醇检测试剂盒(酶终点法)"",""Anti-Cardiolipin ELISA (IgM) (抗心磷脂抗体IgM检测试剂盒(酶联免疫吸附法)"",""ARCHITECT Free T4 Calibrators (游离甲状腺素校准品"",""IMMULITE IL-2R Sample Diluent (白介素-2受体样本稀释液"",""Revision Hip Stem (翻修型股骨柄(商品名：Wagner SL)"",""Na/K/Cl Analyzer (电解质分析仪"",""AtriCure Bipolar System (射频消融发生器(商品名：AtriCure)"",""RF-Generator (射频手术系统(商品名：Sutter)"",""X-ray Plus Bone Densitometer (骨密度仪"",""Computed Radiography (计算机X线摄影系统(商品名：FCR PROFECT CS)"",""BICON-PLUS Ceramic/Metal inserts (复合陶瓷/金属臼衬(商品名：BICON-PLUS)"",""Self-Adhesive Restraining Bandage (自粘弹性绷带(商品名：耐乐固)"",""Opalustre Enamel Microabrasion Slurry (牙釉质研磨膏(商品名：Opalustre)"",""Cast (玻璃纤维绷带""]"
