keywords
""
"[""血球仪用五分类溶血素"",""扩孔钻"",""肩台钻"",""环形刀"",""种植体深度量尺"",""HX-6000A型医用床"",""TM-30系列医用推车"",""KL系列"",""KQ系列医用多频数控超声波清洗器"",""医用复合纱布自粘弹性绷带"",""弹力粘性绷带"",""医用自粘弹性绷带"",""板式担架"",""折叠担架"",""鼻镜""]"
"[""视网膜钩"",""撕囊镊"",""超声乳化调节杆"",""角膜移植手术器械包"",""显微眼科手术器械包"",""YDC系列救护车用担架"",""一次性使用弯针头"",""一次性使用三用枪喷头"",""组织钳"",""持针钳"",""止血钳"",""医用插管固定器"",""酒精棉"",""可调式颈托"",""医用棉签""]"
"[""一次性使用牙探镜"",""医用输液瓶口贴"",""人工晶体植入器"",""颈椎后路椎板成形器械包"",""会阴剪"",""深部拉钩"",""组织拉钩"",""帕巾钳"",""阑尾拉钩"",""小梁剪"",""斜视镊"",""导管固定用敷料"",""膜状内障剪"",""YXH-5型楼梯担架"",""YXH型担架推车""]"
"[""上肢骨折内固定安装器械包"",""一次性使用冲洗器"",""DH-S105系列妇科手术台"",""SteriHeel婴幼儿末梢采血器(商品名：益贝)"",""医用自粘敷料"",""医用薄膜手术巾"",""笑气吸入镇痛系统"",""一次性使用输氧面罩"",""PL-2018系列B型超声诊断仪"",""LMXB系列一次性使用细胞刷"",""LMFB系列一次性使用活体取样钳"",""HB系列中药熏蒸机"",""医用脱脂棉"",""医用脱脂纱布"",""一次性使用医用无纺布口罩""]"
"[""一次性使用医用帽子"",""一次性使用医用棉垫"",""纱布叠片"",""定制式固定义齿"",""固定义齿"",""JL-F型妇科手术台"",""JL-P型诊查床"",""小梁剪"",""人工晶体定位钩"",""维纳斯剪"",""晶体调位钩"",""膜状内障剪"",""角膜剪"",""KQ系列多槽式(长龙)医用数码全自动三频超声喷淋清洗器"",""眼用止血钳""]"
"[""镜片固定镊"",""虹膜镊"",""劈核刀"",""眼科新型手术器械包"",""眼科普通手术器械包"",""SYNCHRON"",""一次性使用引流袋"",""一次性使用负压引流器"",""钢针剪"",""留置针专用固定装置"",""一次性使用精密计量引流袋"",""医用管道专用固定装置"",""一次性使用豪华防返流引流袋"",""一次性使用子母式集尿袋"",""X射线防护手套""]"
"[""断钉取出器器械包"",""齿科用基托分离剂"",""齿科用分离剂"",""齿科用石膏溶解剂"",""子弹型光固化树脂输送器"",""一次性使用植毛塑杆"",""微型骨折内固定安装器械包"",""医用镊"",""会阴剪"",""iCRImager100型干式激光成像仪"",""医用棉球"",""一次性使用负压吸引器"",""一次性使用备皮包"",""一次性使用备皮包"",""一次性使用引流袋""]"
"[""一次性使用连接导管"",""一次性使用备皮刀"",""一次性使用负压引流器"",""一次性使用换药盒"",""一次性使用塑料镊子"",""取出钳"",""医用X"",""医用X射线防护装置"",""一次性使用鼻冲洗球"",""一次性使用手术垫单"",""一次性使用负压引流器"",""一次性使用灌注冲洗器"",""一次性使用多功能引流袋"",""刮痧板"",""显微眼用镊""]"
"[""显微眼用剪"",""显微持针钳"",""眼用拉勾"",""眼用测量器"",""咬切器"",""开睑器"",""牵引装置"",""φ4.5空心钉安装器械包"",""一次性使用防逆流引流袋"",""一次性使用医用垫单"",""一次性使用负压引流器"",""一次性使用男性尿袋"",""一次性使用备皮刀"",""一次性使用换药护理包"",""一次性使用负压引流器""]"
"[""KL型综合手术台"",""KL型普通产床"",""X线观片灯"",""一次性使用压舌板"",""一次性使用口腔包"",""一次性使用集尿袋"",""医用负压吸引装置"",""一次性使用便袋"",""医用输液瓶口贴"",""一次性使用备皮包"",""一次性使用换药盒"",""一次性使用拆线护理包"",""一次性使用口腔包"",""一次性使用胃镜检查辅助包"",""KL系列液压妇科台""]"
"[""医用棉球"",""脱脂纱布绷带"",""脱脂纱布绷带"",""一次性使用连接导管"",""一次性使用压舌板"",""一次性使用引流袋"",""一次性使用镊子"",""退热擦剂(商品名：感力克)"",""碘伏棉条(商品名：妇欣棉栓)"",""万能骨科牵引架"",""刀片夹持器"",""弹簧镊"",""标记环"",""显微针"",""眼用镊""]"
"[""HW系列腰椎牵引床"",""SW-3800系列多功能诊疗床"",""医用棉签"",""医用绷带"",""YJ-8100系列医用臭氧发生仪"",""YJ-8200系列内窥镜摄像机"",""YJ-8300系列LED医学影像照片观察灯"",""YJ-8400系列诊疗椅"",""医用棉球"",""医用棉球"",""PC-R系列医用橡皮膏"",""医用棉签"",""疝气治疗带"",""医用超声耦合剂"",""一次性使用口腔器械盒""]"
"[""医用绷带"",""医用棉签"",""医用绷带"",""医用输液贴"",""DH-Z型综合治疗椅"",""脊柱内固定安装器械包"",""下肢骨折内固定安装器械包"",""手指骨折内固定安装器械包"",""一次性使用吸痰取样器"",""普通手术剪"",""组织钳"",""骨牵引针"",""医用X射线辐射防护玻璃板"",""给药器"",""酒精棉片""]"
"[""透气医用胶粘带"",""纱布绷带"",""检查床"",""痛经贴(商品名：今舒)(已注销)"",""加压滑动鹅头钉安装器械包"",""φ7.3空心钉安装器械包"",""一次性使用鼻镜"",""一次性使用附纸手套"",""DL系列口腔灯"",""一次性使用废液袋"",""医用通气胶带"",""YFG系列医用骨科牵引床"",""YFFJ系列妇科检查床"",""刮痧板"",""7.3空心钉安装器械包""]"
"[""废液收集袋"",""人工晶状体植入镊"",""人工晶状体转动器"",""医用棉球"",""医用纱布绷带"",""医用胸腰骶护具"",""医用下肢矫形垫"",""医用髋部固定护具"",""医用可调型肘部固定护具"",""RC-B-5D型医用折叠担架"",""HSN系列一次性使用直线型吻合器及组件"",""脊柱内固定器(RF)安装器械包"",""SYX-FHF17眼科显微手术器械包"",""医用踝足部护具"",""医用膝关节固定护具""]"
"[""医用弹力四肢固定套"",""SZY-CBM19眼科手术器械包"",""SYX15青光眼显微手术器械包"",""SYX6A显微手术镊器械包"",""SYX9人工晶体植入显微手术器械包"",""SYX36眼后部显微手术器械包"",""SYZ-CBM21眼科手术器械包"",""一次性使用塑料手套"",""一次性使用医用橡胶检查手套"",""纱布绷带"",""医用X射线机自动送片装置"",""一次性使用负压引流器"",""一次性使用备皮刀"",""一次性使用集尿袋"",""一次性使用备皮包""]"
"[""一次性使用备皮刀"",""一次性使用连接管"",""一次性使用换药盒"",""一次性使用镊子"",""一次性使用换药盒"",""一次性使用备皮刀"",""一次性使用连接导管"",""一次性使用引流袋"",""脱脂纱布绷带"",""一次性使用医用垫单"",""一次性使用压舌板"",""酒精棉球"",""一次性使用尿袋"",""一次性使用备皮刀"",""一次性使用医用棉签""]"
"[""医用脱脂棉球"",""一次性使用换药包"",""一次性使用医用垫单"",""一次性使用薄膜手套"",""一次性使用口腔包"",""医用输液瓶口贴"",""输液胶贴"",""一次性使用肛门镜"",""一次性使用引流袋"",""台式钢板折弯器"",""牵开器"",""颅骨牵引弓"",""髓腔铰刀"",""手摇式牵开器"",""开睑器""]"
"[""胃镜检查包"",""一次性使用胃镜咬口(牙垫)"",""一次性使用护理包"",""医用数字LED打印机"",""麻醉咽喉镜"",""一次性使用低阻力推助器"",""一次性使用面罩"",""瓶口贴"",""造口袋"",""压舌板"",""一次性使用连接湿化瓶"",""单手动喉头喷雾器"",""骨盆测量计"",""单手式口腔吸痰器"",""医用胸带""]"
"[""医用腹带"",""医用垫单"",""棉球、棉签"",""医用输液瓶口贴"",""ZY型全方位拉钩"",""通气鼻贴(商品名：必舒)"",""醒脑清凉贴(商品名：醒乐)(已注销)"",""头痛贴(商品名：舒痛宁)"",""酸痛贴(商品名：易贴)(已注销)"",""碘酒棉条(商品名：妇欣棉栓)"",""医用消毒片"",""组织镊"",""压舌板"",""牙用镊"",""敷料镊""]"
"[""瑞莫仙骨康贴"",""医用消毒棉签"",""一次性使用口腔包"",""一次性使用医用橡胶检查手套"",""一次性使用透气胶贴"",""一次性使用塑料手套"",""一次性使用引流袋"",""三爪骨把持器"",""医用棉球"",""SFG型X光片观片灯"",""一次性使用负压引流器"",""一次性使用备皮刀"",""麻醉咽喉镜"",""骨刀"",""骨撬""]"
"[""关节微创牵开装置"",""后囊膜抛光器"",""眼内镊"",""眼内钳"",""眼内剪"",""子弹型光固化树脂输送器"",""硅橡胶输送器"",""急救包"",""一次性使用塑料引流袋"",""乙种手术器械包"",""PF伽玛带锁髓内钉安装器械包"",""颈椎后路钢板安装器械包"",""锁定钢板安装器械包"",""椎间融合器安装器械包"",""骨刮匙""]"
"[""骨凿"",""截骨刀"",""器械钳"",""一次性使用喂食袋"",""PE担架"",""眼用手术刀"",""DH-G型骨科牵引床"",""DH-P型诊查床"",""骨复位器"",""鼻中隔钳"",""YYC系列医用床"",""DFX系列低负压吸引器"",""医用X射线辐射防护玻璃板"",""小儿退热贴"",""一次性使用换药盒""]"
"[""一次性使用医用垫单"",""医用输液瓶口贴"",""头皮夹钳"",""一次性使用换药盒"",""一次性使用定量采血管"",""一次性使用引流袋"",""一次性使用负压引流器"",""一次性使用肛门袋"",""一次性使用镊子"",""一次性使用口垫"",""WSX-D收缩折叠担架"",""WSX-E铲式担架"",""WSX-C折叠担架"",""WSX-G楼梯担架"",""一次性使用备皮包""]"
"[""医用棉球"",""医用棉签"",""JQ-2型家用颈椎牵引器"",""HW-1型颈椎牵引椅"",""HW系列腰椎牵引床"",""HL系列医用输液贴"",""HL系列医用创可贴"",""医用纱布绷带"",""角膜异物钩"",""眼用吸铁器"",""持骨钳"",""刮匙"",""牙科石膏产品(商品名：皓峰)"",""齿科蜡分离剂(商品名：京流)"",""牙科蜡清洁剂(商品名：亲和雾)""]"
"[""齿科藻酸分离剂(商品名：洛风)"",""齿科取模用预成加强钉(商品名：紫荆)"",""手术对接车"",""医用推车"",""医用担架车"",""医用X射线防护门"",""重建钢板安装器械包"",""鹅头钉安装器械包"",""颅骨牵引弓"",""7.3空心钉安装器械包"",""4.5空心钉安装器械包"",""断钉取出器器械包"",""鼻镜"",""持棒钳"",""颚面螺钉起子""]"
"[""克氏针牵引弓"",""椎弓根探子"",""会阴剪"",""一次性使用引流袋"",""一次性使用连接管"",""竹吸筒"",""血细胞分析仪用溶血剂"",""血细胞分析仪用鞘液"",""嗜酸溶血剂"",""嗜碱溶血剂"",""红细胞溶解剂"",""一次性使用口腔器械盒"",""病床"",""持针钳"",""甲状腺拉钩""]"
"[""会阴剪"",""组织拉钩"",""阑尾肠钳"",""阑尾拉钩"",""导管固定扣"",""鼻镜"",""X射线防护门"",""眼内显微手术器械包"",""骨牵引针"",""mRNA加样缓冲液"",""Taqman-ARMS染色液"",""断钉取出器器械包"",""微型钢板安装器械包"",""跟骨钢板安装器械包"",""牵开器""]"
"[""骨凿"",""咬骨钳"",""电动石膏锯"",""骨科定位片"",""SJM011型手术对接车"",""SJM系列液压升降平车"",""眼用显微手术剪"",""巩膜剪"",""眼用镊"",""X射线防护服"",""医用棉球"",""医用棉签"",""医用酒精棉球"",""医用胶带"",""医用绷带""]"
"[""医用胶布"",""医用棉签"",""负压引流装置"",""医用冷敷冰袋"",""牙科用树脂圆盘(商品名：PMMA"",""一次性使用引流袋"",""医用消毒一次棒"",""医用消毒片"",""冰袋"",""乳胶男性尿失禁集尿管"",""反力镊"",""显微眼内剪"",""眼内异物爪"",""睫毛镊"",""膜状内障剪""]"
"[""开睑器"",""显微系线镊"",""高分子绷带"",""一次性使用止血带"",""一次性使用引流袋"",""取样钳"",""钻头"",""TX50型干式激光成像仪"",""鹅头钉安装器械包"",""医用清洁棉片"",""钻头"",""阑尾肠钳"",""一次性使用负压吸引装置"",""钢针剪"",""直视双动钛夹钳""]"
"[""直视直角钛夹钳"",""直视五叶钳"",""探针"",""直视阑尾抓钳"",""一次性使用肛门袋"",""一次性使用引流袋"",""一次性使用胃镜检查包"",""一次性使用备皮包"",""给药器"",""AKMQ系列医用担架"",""AKMH系列病人推车"",""AKMC系列诊查床"",""KSS-Ⅲ(综合型)脊柱固定器安装器械包"",""核酸提取仪"",""颈椎牵引器""]"
"[""颈椎牵引架"",""负压引流装置"",""耳鼻喉科用镊"",""废液收集袋"",""TY型全自动洗片机"",""一次性医用护理包"",""退热贴"",""肩颈腰腿疼痛贴(已注销)"",""舒筋活血贴(已注销)"",""跌打损伤贴(已注销)"",""小儿腹痛贴(已注销)"",""眼球固定环"",""颅骨钻"",""显微组织剪(刀)"",""拉钩""]"
"[""一次性使用换药盒"",""一次性使用镊子"",""剥离器"",""粘膜咬切钳"",""鼻窦切割刀"",""鼻窦光学钳"",""降温贴"",""LX系列尿液分析专用试剂盒"",""病床"",""医用棉球"",""医用棉球"",""一次性使用镊子"",""一次性使用引流袋"",""医用输液瓶口贴"",""一次性使用备皮刀""]"
"[""一次性使用换药盒"",""一次性使用备皮包"",""一次性使用口腔清洁护理包"",""医用绷带"",""一次性使用引流袋"",""一次性使用薄膜手套"",""一次性使用脐带夹"",""X线观片灯"",""一次性使用抗反流引流袋"",""一次性使用引流袋"",""一次性使用负压引流器"",""左弯型喉手术剪"",""右弯型喉分离钳"",""直型喉分离钳"",""Φ3上翘左弯型喉息肉钳""]"
"[""医用棉球"",""刀片夹持器"",""显微持针钳"",""乳突吸引管"",""乳突骨凿"",""人工晶体剪"",""攀镊"",""麻醉回路"",""酶标分析仪"",""绷带"",""棉球、棉签"",""多功能头架"",""妇科冲洗器"",""万能骨科牵引架"",""KSY系列多功能医用床""]"
"[""多功能组合绷带"",""医用牵引固定带"",""医用绷腿、绷臂支具"",""医用体位垫"",""无损伤镊"",""显微镊"",""耳鼻喉科镊"",""眼用镊"",""酒精消毒棉球"",""止血钳"",""酒精消毒棉"",""复合碘医用消毒棉"",""耳科手术器械包"",""正畸测力计"",""口内反光镜""]"
"[""口角拉钩"",""不锈钢担架车"",""一次性使用聚氯乙烯医用检查手套"",""一次性使用备皮刀"",""一次性使用集液袋"",""CJ系列医用牵引床"",""医用高分子绷带"",""一次性使用拆线包"",""一次性使用压舌板"",""一次性使用喷药器"",""一次性使用负压引流器"",""一次性使用男性尿袋"",""一次性使用引流袋"",""一次性使用备皮包"",""医用棉签""]"
"[""医用输液贴"",""医用胶片"",""医用碘伏棉球"",""医用胶片"",""医用颈托"",""医用止血胶管"",""阑尾抓钳"",""鼠牙抓钳(细)"",""医用胶布"",""一次性使用医用棉签"",""玻切手术镜片包"",""一次性PVC卫生检查手套"",""PVC手套"",""一次性使用手术垫单"",""多功能治疗带""]"
"[""KYQ型墙式氧气吸入器"",""气压牵引带"",""XKE系列检查床"",""全自动尿液有形成分分析仪用沉渣性成分检测染色液—SED"",""全自动尿液有形成分分析仪用细菌性成分检测染色液—BAC"",""全自动尿液有形成分分析仪用细菌性成分检测稀释液—BAC"",""自助式手术牵开器"",""RPX-Omat冲洗套液"",""一次性使用防逆流引流袋"",""医用输液胶贴"",""一次性使用薄膜手套"",""医用透气胶带"",""医用输液瓶口贴"",""一次性使用备皮包"",""一次性使用备皮刀""]"
"[""臭氧空气消毒器(商品名：杀菌先锋、除味先锋)"",""一次性使用口腔包"",""一次性使用换药包"",""一次性使用引流器"",""一次性使用肛门袋"",""一次性使用引流袋"",""一次性使用引流袋"",""一次性使用薄膜手套"",""一次性使用男性尿袋"",""一次性使用薄膜手套"",""一次性使用负压引流器"",""一次性使用引流袋"",""一次性使用口腔护理包"",""一次性使用集尿袋"",""一次性使用引流袋""]"
"[""一次性使用医用镊子"",""一次性使用口垫"",""一次性使用薄膜手套"",""一次性使用垫单"",""一次性使用透气胶贴"",""一次性使用负压引流器"",""医用引流袋"",""一次性使用医用垫单"",""一次性使用备皮刀"",""一次性使用备皮包"",""一次性使用换药包"",""一次性使用肠道冲洗袋"",""一次性使用口腔包"",""一次性使用薄膜手套"",""一次性使用换药盒""]"
"[""高分子夹板"",""颈椎牵引器"",""医用棉球"",""医用棉签"",""医用纱布绷带"",""显微结扎镊"",""撕囊镊"",""显微系线镊"",""显微无损伤镊"",""人工晶体折叠镊"",""人工晶体植入镊"",""角膜剪"",""维纳斯剪"",""颚面螺钉起子"",""骨锉""]"
"[""骨牵引针"",""椎体复位器"",""胸部固定板(商品名：百优美胸板)"",""牙科清扫水"",""一次性使用医用垫单"",""一次性使用肛门袋"",""一次性使用薄膜手套"",""一次性使用压舌板"",""一次性使用耳鼻喉检查包"",""一次性使用备皮刀"",""一次性使用口腔包"",""一次性使用肛门镜"",""一次性使用备皮包"",""一次性使用医用垫单"",""一次性使用引流袋""]"
"[""一次性使用便袋"",""一次性使用雾化器螺纹管"",""一次性使用消毒碘棒"",""麻醉咽喉镜"",""一次性囊式宫颈扩张器"",""医用自粘弹性绷带"",""浮标式氧气吸入器"",""医学影像胶片"",""口对口呼吸器"",""医用高分子绷带"",""SY系列医用护理床"",""氧气袋"",""医用外固定支具"",""乳胶导尿套"",""医用绷腿、绷臂""]"
"[""普通产床"",""手术头架"",""脊柱手术托架"",""普通手术台"",""病床"",""XKL系列担架车"",""妇科诊察床"",""一次性使用负压球"",""一次性聚乙烯(PE)手套"",""一次性使用医用引流袋"",""溶血剂"",""稀释液"",""酒精棉棒"",""急救包"",""钢针钳""]"
"[""妇科手术钳"",""上翘型喉手术钳"",""弯型喉手术钳"",""妇科手术钳"",""右弯型喉手术钳"",""气管套管"",""电动颈椎牵引椅"",""一次性使用输氧管"",""苯扎溴铵消毒片"",""家庭防水创可贴"",""C型医用床"",""牙种植扩骨器"",""医用自粘弹性绷带"",""WSX-A系列自动上车担架"",""医用高分子夹板""]"
"[""正畸弯制钳"",""WSX-C折叠担架"",""WSX-D系列收缩折叠担架"",""WSX-E系列铲式担架"",""WSX-G系列楼梯担架"",""环保透明脱蜡液"",""医用棉签"",""角膜上皮滚轮"",""角膜上皮恢复器"",""角膜上皮酒精罩"",""角膜印模"",""视网膜勾"",""双头片铲"",""眼睑板"",""人乳头状瘤病毒检验样本保存液""]"
"[""免疫分析仪用清洗液"",""医用防护眼镜(商品名：白内障术后镜)"",""医用高分子绷带(夹板)"",""一次性营养培养基"",""一次性营养琼脂培养基"",""无菌创可贴"",""泪道探针(含针芯)"",""溶血剂"",""稀释液"",""一次性使用口垫"",""一次性使用薄膜手套"",""医用绷带"",""纱布绷带"",""医用棉签"",""医用绷带""]"
"[""HH系列矫形器"",""医用绷带"",""医用棉球"",""医用绷带"",""医用绷带"",""MT-8100系列LED医学影像照片观察灯"",""骨牵引针"",""护创二合一(易折用碘伏棉棒、创可贴)"",""护创三合一(易折用苯扎氯铵棉棒、易折用碘伏棉棒、创可贴)"",""氦氖激光成像胶片"",""鼓膜置管器械包"",""中耳吹张器械包"",""鼻腔异物钩圈"",""透明防水创可贴"",""卡通防水创可贴""]"
"[""防水创可贴"",""灭菌创可贴"",""弹性创可贴"",""全自动血液分析仪用有核红细胞溶血染色用试剂-NR"",""全自动血液分析仪用溶血剂"",""神经诊锤"",""减径锯"",""结扎枪"",""革兰染色用质量控制片"",""检查手套(PVC手套、合成手套)"",""创口贴"",""医用输液贴"",""一次性卫生棉签"",""医用输液贴"",""散粒肿夹""]"
"[""泪道探针"",""蝶形注液针"",""膜瓣镊"",""显微巩膜剪"",""一次性使用创伤护理包"",""一次性使用引流袋"",""一次性使用口腔器械盒"",""一次性使用备皮刀"",""一次性使用男性尿袋"",""一次性使用备皮包"",""一次性使用医用垫单"",""一次性使用便袋"",""一次性使用鼻冲洗球"",""QKL型平板床"",""QKL型康复床""]"
"[""QKL型不锈钢担架车"",""紫外线杀菌灯"",""乳胶医用指套"",""TJC型体检车用X射线机自动送片"",""棉签"",""棉球"",""一次性弹力压迫止血器"",""苯扎溴铵(BZK)棉片"",""碘伏棉棒"",""洒精棉棒"",""腰部固定矫正带"",""腰椎牵引拉伸器"",""颈椎牵引固定器"",""颈椎牵引拉伸器"",""无菌创口贴""]"
"[""移动输液助行器"",""一次性使用连接导管"",""一次性使用垫单"",""一次性使用备皮包"",""一次性使用洗疮器"",""一次性使用薄膜手套"",""一次性使用男性尿袋"",""一次性使用口腔包"",""一次性使用桡动脉止血器"",""一次性使用股动脉止血器"",""藻酸盐伤口敷料(商品名：生肤藻SonSorb)"",""银离子伤口敷料(商品名：生肤银SonAg)"",""胶原贴敷料"",""负压引流护创系统(商品名：速愈皮)"",""外固定支架""]"
"[""斜视剪"",""眼用剪"",""一次性使用检查手套"",""一次性使用负压引流器"",""一次性使用医用橡胶检查手套"",""一次性使用换药盒"",""一次性使用采血管"",""高速冷冻GL系列离心机"",""改良罗氏培养基"",""试剂卡孵育器"",""低离子强度盐溶液"",""一次性使用无菌肛门镜"",""医用超声耦合剂"",""医用PET胶片"",""阴道填栓""]"
"[""斑点试验芯室"",""消毒擦片"",""多功能医用床"",""骨折内固定系统安装器械包"",""锁定内固定系统安装器械包"",""脊柱内固定安装器械包"",""人工髋关节手术器械包"",""紫外线杀菌车"",""多功能腹部牵开器"",""多功能显微支撑喉镜"",""喉科成套手术器械"",""碘伏消毒(棉)片"",""医用胶带"",""持板钳"",""撑开钳""]"
"[""撬棒"",""一次性使用防回流引流袋"",""一次性使用引流袋"",""一次性使用引流袋"",""一次性使用负压吸引器"",""一次性使用连接导管"",""一次性使用降温贴(商品名称：冰瑞)"",""SD-T1型横行移动式病人运送车"",""喉头喷雾器"",""一次性使用备皮刀"",""一次性使用医用橡胶检查手套"",""一次性使用口腔包"",""一次性使用薄膜手套"",""一次性使用无菌采血针"",""骨锯""]"
"[""医用固定带"",""一次性使用冲洗器"",""一次性使用冲洗头"",""治疗巾"",""钠石灰"",""钙石灰"",""可调笔式注射架"",""咬骨钳"",""钢丝钳"",""复位钳"",""持骨钳"",""丝锥"",""一次性使用消毒片"",""一次性使用换药盒"",""一次性使用集尿袋""]"
"[""颈椎融合器安装器械包"",""一次性使用超声治疗垫"",""TL型全自动洗片机"",""胎儿吸引器"",""一次性使用灌注器"",""开口器"",""红细胞裂解液"",""SX系列紧急输液带"",""眼内视网膜剪"",""浓缩清洗缓冲液"",""多功能可调喉镜"",""医用碘伏棉棒"",""一次性使用消毒棉签(棉球)"",""一次性使用备皮包"",""一次性使用引流袋""]"
"[""一次性使用医用橡胶检查手套"",""一次性使用引流袋"",""一次性无菌换药棉垫"",""一次性医用酒精消毒片"",""储雾罐"",""墙式氧气吸入器"",""医用推车"",""止血带"",""YBT系列颈腰椎牵引床"",""芦荟创口贴(已注销)"",""阴道填塞(商品名称：贝畅)"",""一次性止血带"",""一次性使用垫单"",""医用胶片"",""一次性使用自粘弹性绷带""]"
"[""负压吸引装置"",""一次性使用吸引连接管"",""医用无菌保护套"",""医用X光片扫描仪"",""鹅头钉安装器械包"",""φ4.0双头加压空心钉安装器械包"",""KTO带锁髓内钉安装器械包"",""一次性使用手术单"",""椎弓根钉尾部切断器"",""椎弓根钉打孔器"",""台式钢板折弯器"",""髓腔铰刀"",""手摇式牵开器"",""神经剥离子器"",""微孔板迷你离心机""]"
"[""Determine"",""一次性使用海绵棒"",""便携式医用检查灯"",""物理降温贴"",""直视缝合钳"",""直视缝合抓钳"",""乳头隆起器"",""神经外科手术器械"",""银汞调合器"",""耳用微型手术器械"",""骨凿"",""医用PET胶片"",""智能采血称重仪"",""肺功能检查咬口"",""KN系列医用胶片""]"
"[""DH型系列医用X射线防护室装置"",""外科腹腔镜手术悬吊器"",""消毒包"",""医用病床"",""医用推车"",""一次性使用医用垫单"",""一次性使用压舌板"",""一次性使用备皮包"",""碘伏棉签"",""一次性使用镊子"",""一次性使用备皮刀"",""猪尾巴探针"",""牵开器"",""螺钉起子"",""颅骨牵引弓""]"
"[""DFX型数控医用超声波清洗器"",""除疣器具盒"",""多功能导管固定支架"",""会阴剪"",""纱布绷带剪"",""医用胶贴"",""医用输液贴"",""医用瓶盖防护贴"",""医用垫单"",""缓渴液"",""医用咬口护罩"",""消毒擦片"",""甲状腺悬吊器"",""指圈式施夹钳"",""医用棉球""]"
"[""食道手术器械"",""WSX-B型医用推车"",""压舌板"",""医用洗耳球"",""一件式人工肛门袋"",""二件式人工肛门袋"",""一次性使用无菌负压封闭存贮器"",""腹带"",""双翼阴道超声检查扩张器"",""透气胶带"",""眼内吸铁器"",""巩膜咬切器"",""维纳斯剪"",""微量采血吸管"",""HL系列医用胶片""]"
"[""胃镜检查包"",""雾化吸入器"",""医用数字纸质胶片"",""医用彩色超声胶片"",""病床"",""离心沉淀机"",""偏头痛贴(已注销)"",""医用弹力胸腰骶固定带"",""杀菌型医用超声耦合剂"",""HDPE担架"",""一次性使用痰液收集器"",""一次性使用引流袋"",""一次性使用负压引流器"",""一次性使用负压引流装置"",""一次性使用引流袋""]"
"[""医用洗耳球"",""医用X光片扫描仪"",""一次性使用冲洗袋"",""一次性使用冲洗器"",""KLTC系列抢救推车"",""巩膜压迫器"",""镜片固定环"",""玻切手术镜片包"",""I/A手柄式超乳注吸器"",""刀片夹持器"",""冲洗针"",""开睑器"",""烧灼止血器"",""一次性使用纸塑检查手套"",""一次性使用引流袋""]"
"[""一次性使用换药包"",""一次性使用口腔器械盒"",""一次性使用负压引流器"",""上肢骨折内固定安装器械包"",""4.5空心钉安装器械包"",""YQ型骨科牵引床"",""抗酸染色液(二步法)"",""防护玻璃板"",""医用输液瓶口贴"",""一次性使用无菌负压封闭膜"",""人工晶体定位钩"",""烧灼止血器"",""夹钉镊"",""人工晶体定位勾"",""劈核刀""]"
"[""止血器"",""何氏角膜异物铲"",""超乳注吸手柄"",""刀片夹持器"",""泪点扩张器"",""医用拉勾"",""诊察床"",""显微虹膜镊"",""眼用测量器"",""眼内异物镊"",""眼内视网膜镊"",""膜状内障剪"",""多功能举宫器"",""交叉韧带重建手术器械"",""子宫诊疗手术器械""]"
"[""免疫球蛋白IgA检测试剂盒(免疫浊度法)"",""口腔灯"",""心肺复苏板"",""重建钢板内固定安装器械包"",""微型骨折内固定安装器械包"",""上肢骨折骨折内固定安装器械包"",""下肢骨折骨折内固定安装器械包"",""重建钢板内固定安装器械包"",""微型骨折内固定安装器械包"",""上肢骨折骨折内固定安装器械包"",""下肢骨折骨折内固定安装器械包"",""会阴剪"",""一次性使用备皮包"",""一次性使用引流袋"",""一次性使用器官外套袋""]"
"[""负压吸引装置"",""一次性使用清创器"",""胫骨带锁钉安装器械包"",""下肢内固定安装器械包"",""伽玛钉安装器械包"",""库尔特流式细胞仪专用试剂IsoFlow鞘液"",""一次性使用负压引流器"",""HL8系列头灯(商品名：医用头灯)"",""OT8"",""骨牵引针"",""外固定器"",""锤骨器"",""髂骨取出器"",""护眼贴"",""小梁切开器""]"
"[""眼深部拉勾"",""刮匙"",""泪囊拉钩"",""虹膜拉勾"",""睫毛镊"",""C型止血钳"",""一次性使用袋式输液器(带针)"",""医用荧光棒"",""HLBC系列多功能病床"",""晕车贴(商品名称：屏安)"",""普通手术台"",""储雾罐"",""防逆流冲洗器"",""血铅溶血剂"",""营养琼脂平板""]"
"[""血琼脂平板"",""巧克力琼脂平板"",""散粒肿夹"",""动脉瘤钩"",""眼用勾锥"",""一次性使用引流袋"",""一次性使用输液贴"",""医用胸腰骶护具"",""医用可调型肘部固定护具"",""医用髋部固定护具"",""医用下肢矫形垫"",""一次性使用精密尿袋"",""一次性使用阴道冲洗袋"",""一次性使用吸引连接管"",""断钉取出器""]"
"[""角度尺"",""打入器"",""护套"",""止血钳"",""持针钳"",""上肢锁定钢板安装器械包"",""脊柱前路固定系统安装器械包"",""脊柱后路固定系统安装器械包"",""微型接骨板安装器械包"",""空心钉安装器械包"",""鹅头钉安装器械包"",""医用送药车"",""普通病床"",""一次性使用集尿袋"",""重型抓钳""]"
"[""双动直剪"",""钩剪"",""总胆红素诊断试剂盒(亚硝酸钠法)"",""负压吸引装置"",""钻头"",""RSS脊柱安装器械包"",""DH-X型采血椅"",""铲式担架"",""救护车担架"",""折叠担架"",""深部拉钩"",""一次性使用胃镜检查包"",""一次性使用薄膜手套"",""一次性使用换药包"",""一次性使用胃镜检查包""]"
